epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,72.2387,0.78976,0.5524,0.92548,0.92045,0.92072,0.96452,0.75661,0.72614,0.50704,0.89492,0.000317,0.000317,0.000317
87,72.9967,0.77027,0.53579,0.92134,0.92045,0.92072,0.96452,0.75661,0.72614,0.50704,0.89492,0.0002972,0.0002972,0.0002972
88,73.7899,0.77632,0.53433,0.92417,0.92045,0.92072,0.96452,0.75661,0.72614,0.50704,0.89492,0.0002774,0.0002774,0.0002774
89,74.523,0.81532,0.54159,0.95549,0.92045,0.92072,0.96452,0.75661,0.72614,0.50704,0.89492,0.0002576,0.0002576,0.0002576
90,75.3439,0.78065,0.5275,0.9091,0.90911,0.92095,0.9623,0.76155,0.70482,0.50945,0.88918,0.0002378,0.0002378,0.0002378
91,108.555,0.78081,0.57262,0.94481,0.90911,0.92095,0.9623,0.76155,0.70482,0.50945,0.88918,0.000218,0.000218,0.000218
92,109.778,0.76906,0.56132,0.90996,0.90911,0.92095,0.9623,0.76155,0.70482,0.50945,0.88918,0.0001982,0.0001982,0.0001982
93,110.557,0.81269,0.58135,0.93783,0.90911,0.92095,0.9623,0.76155,0.70482,0.50945,0.88918,0.0001784,0.0001784,0.0001784
94,111.361,0.76796,0.57347,0.92648,0.93017,0.90537,0.95975,0.76099,0.6972,0.51487,0.88693,0.0001586,0.0001586,0.0001586
95,112.082,0.79259,0.5651,0.93812,0.93017,0.90537,0.95975,0.76099,0.6972,0.51487,0.88693,0.0001388,0.0001388,0.0001388
96,112.805,0.71036,0.5245,0.91755,0.93017,0.90537,0.95975,0.76099,0.6972,0.51487,0.88693,0.000119,0.000119,0.000119
97,113.541,0.83442,0.58188,0.92183,0.93017,0.90537,0.95975,0.76099,0.6972,0.51487,0.88693,9.92e-05,9.92e-05,9.92e-05
98,114.286,0.73678,0.54693,0.90924,0.91971,0.91049,0.95892,0.76045,0.69488,0.51446,0.88682,7.94e-05,7.94e-05,7.94e-05
99,114.977,0.77138,0.55213,0.92297,0.91971,0.91049,0.95892,0.76045,0.69488,0.51446,0.88682,5.96e-05,5.96e-05,5.96e-05
100,115.659,0.78963,0.54658,0.90048,0.91971,0.91049,0.95892,0.76045,0.69488,0.51446,0.88682,3.98e-05,3.98e-05,3.98e-05
